timestamp,model,seed,batch_size,epochs,learning_rate,test_accuracy
2026-09-06T22:09:17.395895,linear,42,64,1,0.01,86.75
2026-09-06T22:09:40.773974,linear,42,64,5,0.01,90.06
2026-09-06T22:10:01.254917,linear,42,64,10,0.01,90.86
2026-09-06T22:10:42.319633,linear,42,64,25,0.01,91.83
2026-09-06T22:14:40.862774,linear,42,64,5,0.0001,68.96
2026-09-06T22:15:00.681693,linear,42,64,5,0.001,84.74
2026-09-06T22:15:15.102979,linear,42,64,5,0.01,90.06
2026-09-06T22:15:32.638799,linear,42,64,5,0.1,92.10
2026-09-06T22:15:47.755589,linear,42,64,5,1.0,91.82
2026-09-06T22:22:16.346880,linear,42,1,5,0.01,92.34
2026-09-06T22:33:34.756176,linear,42,16,5,0.01,91.64
2026-09-06T22:33:52.810113,linear,42,64,5,0.01,90.06
2026-09-06T22:35:29.975461,linear,42,256,5,0.01,87.39
2026-09-06T22:35:43.870344,linear,42,1024,5,0.01,82.8
2026-09-06T22:38:21.275900,linear,42,1024,25,0.01,87.88
2026-09-06T22:39:14.911550,linear,42,1024,50,0.01,89.14
2026-09-06T22:41:01.500253,linear,42,1024,100,0.01,90.43
2026-09-06T22:43:40.059829,linear,42,1024,5,0.1,89.17
2026-09-06T22:43:54.654613,linear,42,1024,5,0.5,91.36
2026-09-06T22:44:07.538697,linear,42,1024,5,1.0,91.8
2026-09-06T22:45:22.073932,linear,42,1024,50,1.0,92.41
